date,day_of_week,day_of_week_code,is_weekend,month, season_code ,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sunday,monday,tuesday,wednesday,thursday,friday,saturday
6/16/2015,Tuesday,3,0,6,3,79,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6/17/2015,Wednesday,4,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6/18/2015,Thursday,5,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6/19/2015,Friday,6,1,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6/20/2015,Saturday,7,1,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6/21/2015,Sunday,1,0,6,3,78,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6/22/2015,Monday,2,0,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6/23/2015,Tuesday,3,0,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6/24/2015,Wednesday,4,0,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6/25/2015,Thursday,5,0,6,3,87,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6/26/2015,Friday,6,1,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6/27/2015,Saturday,7,1,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6/28/2015,Sunday,1,0,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6/29/2015,Monday,2,0,6,3,63,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6/30/2015,Tuesday,3,0,6,3,46,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7/1/2015,Wednesday,4,0,7,3,53,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/2/2015,Thursday,5,0,7,3,73,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7/3/2015,Friday,6,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7/4/2015,Saturday,7,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7/5/2015,Sunday,1,0,7,3,56,34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7/6/2015,Monday,2,0,7,3,58,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7/7/2015,Tuesday,3,0,7,3,49,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7/8/2015,Wednesday,4,0,7,3,43,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/9/2015,Thursday,5,0,7,3,62,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7/10/2015,Friday,6,1,7,3,75,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7/11/2015,Saturday,7,1,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7/12/2015,Sunday,1,0,7,3,51,39,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7/13/2015,Monday,2,0,7,3,46,44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7/14/2015,Tuesday,3,0,7,3,57,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7/15/2015,Wednesday,4,0,7,3,75,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/16/2015,Thursday,5,0,7,3,82,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7/17/2015,Friday,6,1,7,3,80,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7/18/2015,Saturday,7,1,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7/19/2015,Sunday,1,0,7,3,79,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7/20/2015,Monday,2,0,7,3,78,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7/21/2015,Tuesday,3,0,7,3,76,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7/22/2015,Wednesday,4,0,7,3,79,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/23/2015,Thursday,5,0,7,3,85,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7/24/2015,Friday,6,1,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7/25/2015,Saturday,7,1,7,3,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7/26/2015,Sunday,1,0,7,3,78,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7/27/2015,Monday,2,0,7,3,77,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7/28/2015,Tuesday,3,0,7,3,76,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7/29/2015,Wednesday,4,0,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7/30/2015,Thursday,5,0,7,3,82,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7/31/2015,Friday,6,1,7,3,76,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8/1/2015,Saturday,7,1,8,3,89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8/2/2015,Sunday,1,0,8,3,88,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
